Age,Country,EdLevel,WorkExp,YearsCode,Employment,RemoteWork,OrgSize,Industry,ICorPM,NewRole,PurchaseInfluence,LearnCodeAI,ToolCountWork,ToolCountPersonal,AIThreat,AIFrustration,AISent,AIComplex,AIAgentChange,ConvertedCompYearly,JobSat
35-44 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,10.0,Not employed,Not Specified,Not Specified,Not Specified,Not Specified,I have strongly considered changing my career and/or the industry I work in,Not Specified,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",1.0,1.0,Yes,"AI solutions that are almost right, but not quite;Other (write in):",Indifferent,I don't use AI tools for complex tasks / I don't know,"Yes, somewhat",130000.0,3.0
35-44 years old,Not Specified,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,15.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)","1,000 to 4,999 employees",Higher Education,Individual contributor,Not Specified,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",6.0,5.0,No,Not Specified,Not Specified,Not Specified,Not Specified,77987.0,7.0
45-54 years old,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,10.0,Employed,Remote,500 to 999 employees,Energy,Individual contributor,I have strongly considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",12.0,12.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Very favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",21844.0,9.0
25-34 years old,United States of America,Some college/university study without earning a degree,1.0,5.0,Employed,Remote,Less than 20 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",8.0,4.0,Yes,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving;Other (write in):;It’s hard to understand how or why the code works",Very unfavorable,Very poor at handling complex tasks,"Yes, to a great extent",40000.0,6.0
45-54 years old,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,28.0,Employed,Remote,20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",5.0,5.0,No,I don’t use AI tools regularly,Unsure,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,77987.0,10.0
35-44 years old,France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,25.0,Employed,Remote,"1,000 to 4,999 employees",Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",4.0,5.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Favorable,Bad at handling complex tasks,Not at all or minimally,168221.0,4.0
35-44 years old,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17.0,21.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Computer Systems Design and Services,Not Specified,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",10.0,5.0,No,Other (write in):,Very favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",77987.0,10.0
35-44 years old,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,25.0,Employed,Remote,20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",1.0,2.0,No,I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works,Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",63808.0,8.0
35-44 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,22.0,Employed,Remote,"10,000 or more employees",Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",7.0,5.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Unfavorable,Very poor at handling complex tasks,Not at all or minimally,116015.0,8.0
18-24 years old,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,6.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","10,000 or more employees","Internet, Telecomm or Information Services",Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I endorsed a tool that was ultimately not purchased or used at my organization","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",4.0,2.0,No,Not Specified,Indifferent,"Good, but not great at handling complex tasks",Not at all or minimally,16374.0,7.0
25-34 years old,Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,8.0,Employed,"Hybrid (some remote, leans heavy to in-person)","1,000 to 4,999 employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",6.0,4.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",80050.0,6.0
45-54 years old,United States of America,Some college/university study without earning a degree,32.0,37.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","10,000 or more employees",Government,Individual contributor,I have transitioned into a new career and/or industry involuntarily,"Yes, I endorsed a tool that was ultimately not purchased or used at my organization","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",15.0,25.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Unfavorable,Very poor at handling complex tasks,Not at all or minimally,145000.0,4.0
18-24 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,6.0,Employed,In-person,I don’t know,Other:,Individual contributor,I have strongly considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",6.0,5.0,Yes,Not Specified,Not Specified,Not Specified,Not Specified,30222.0,6.0
25-34 years old,Jordan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,15.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",5.0,5.0,No,Not Specified,Very unfavorable,Very poor at handling complex tasks,Not Specified,77987.0,10.0
25-34 years old,Turkey,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.0,3.0,Employed,Remote,"1,000 to 4,999 employees",Software Development,Individual contributor,I have transitioned into a new career and/or industry voluntarily,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",10.0,7.0,I'm not sure,"AI solutions that are almost right, but not quite;I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works",Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",27773.0,6.0
25-34 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,15.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","1,000 to 4,999 employees",Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",5.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving",Favorable,Very poor at handling complex tasks,Not at all or minimally,75410.0,7.0
25-34 years old,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,20.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",500 to 999 employees,"Transportation, or Supply Chain",Individual contributor,I have transitioned into a new career and/or industry voluntarily,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",5.0,2.0,No,Debugging AI-generated code is more time-consuming,Very favorable,Very poor at handling complex tasks,Not at all or minimally,182843.0,8.0
18-24 years old,Not Specified,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,7.0,Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,Software Development,Individual contributor,I have strongly considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","No, I didn't spend time learning in the past year",5.0,5.0,No,Not Specified,Not Specified,Not Specified,Not Specified,77987.0,6.0
35-44 years old,Canada,Some college/university study without earning a degree,9.0,12.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",100 to 499 employees,Retail and Consumer Services,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",5.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;Other (write in):",Unfavorable,Very poor at handling complex tasks,Not at all or minimally,62015.0,8.0
